Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,265,4,T:System.ServiceModel.EnvelopeVersion,,,,,"throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,265,4,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,259,8,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,259,8,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,259,8,P:System.ServiceModel.EnvelopeVersion.None,,,,,"if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,259,8,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,259,8,P:System.ServiceModel.Channels.MessageVersion.Envelope,,,,,"if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,255,8,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,255,8,T:System.ServiceModel.EnvelopeVersion,,,,,"if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SoapCore\SoapCore.csproj,File,SoapCore\MessageEncoder\SoapMessageEncoder.cs,255,8,P:System.ServiceModel.EnvelopeVersion.Soap11,,,,,"if (version.Envelope == EnvelopeVersion.Soap11)  			{  				mediaType = Soap11MediaType;  			}  			else if (version.Envelope == EnvelopeVersion.None)  			{  				mediaType = XmlMediaType;  			}  			else  			{  				throw new InvalidOperationException($""Envelope Version '{version.Envelope}' is not supported."");  			}"
